Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","58","Flour, maize","2007","2007","tonnes","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","58","Flour, maize","2008","2008","tonnes","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","58","Flour, maize","2009","2009","tonnes","132","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","58","Flour, maize","2010","2010","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","58","Flour, maize","2011","2011","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","58","Flour, maize","2012","2012","tonnes","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","58","Flour, maize","2013","2013","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","58","Flour, maize","2016","2016","tonnes","1","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","58","Flour, maize","2018","2018","tonnes","26","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2000","2000","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2001","2001","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2002","2002","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2003","2003","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2004","2004","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2005","2005","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2006","2006","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2007","2007","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2008","2008","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2009","2009","1000 US$","35","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2010","2010","1000 US$","0","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2011","2011","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2012","2012","1000 US$","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2013","2013","1000 US$","0","F","FAO estimate"
